policy_id,bind_date,quote_id,customer_id,policy_type,premium_amount,panel_insurer_id,partner_id
POL0000325,2026-08-28,Q0001191,CUST-006022,1_month,37.27,INS-006,
POL0000326,2026-08-29,Q0001196,CUST-005094,1_day,24.2,INS-005,PARTNER-057
POL0000327,2026-08-29,Q0001198,CUST-008336,1_day,85.41,INS-001,
POL0000328,2026-08-29,Q0001202,CUST-001134,1_day,126.7,INS-004,
POL0000329,2026-08-29,Q0001206,CUST-003367,1_week,94.48,INS-003,
POL0000330,2026-08-29,Q0001207,CUST-006580,1_day,58.0,INS-004,PARTNER-035
POL0000331,2026-08-29,Q0001208,CUST-003525,1_week,68.44,INS-006,
POL0000332,2026-08-29,Q0001215,CUST-005506,1_week,28.55,INS-007,
POL0000333,2026-08-29,Q0001224,CUST-000871,1_month,83.67,INS-005,
POL0000334,2026-08-29,Q0001225,CUST-007545,3_month,75.05,INS-003,
POL0000335,2026-08-29,Q0001226,CUST-007316,3_month,70.97,INS-004,PARTNER-065
POL0000336,2026-08-30,Q0001230,CUST-000534,3_month,55.32,INS-004,
POL0000337,2026-08-30,Q0001231,CUST-008734,3_month,81.26,INS-006,PARTNER-055
POL0000338,2026-08-30,Q0001239,CUST-006571,1_week,138.19,INS-003,PARTNER-077
POL0000339,2026-08-30,Q0001241,CUST-005347,1_day,93.03,INS-001,PARTNER-061
POL0000340,2026-08-30,Q0001245,CUST-000631,3_month,112.04,INS-007,
POL0000341,2026-08-30,Q0001261,CUST-006565,3_month,96.67,INS-007,
POL0000342,2026-08-30,Q0001265,CUST-008889,1_month,28.74,INS-004,
POL0000343,2026-08-30,Q0001271,CUST-003485,1_day,142.96,INS-003,PARTNER-036
POL0000344,2026-08-31,Q0001273,CUST-004345,1_week,135.3,INS-004,
POL0000345,2026-08-31,Q0001278,CUST-001404,3_month,114.97,INS-002,PARTNER-024
POL0000346,2026-08-31,Q0001285,CUST-008662,1_week,90.07,INS-004,
POL0000347,2026-08-31,Q0001288,CUST-005379,1_month,46.69,INS-001,
POL0000348,2026-08-31,Q0001289,CUST-002542,1_week,14.12,INS-003,
POL0000349,2026-08-31,Q0001291,CUST-008093,1_day,94.6,INS-006,PARTNER-084
POL0000350,2026-08-31,Q0001294,CUST-008014,1_month,143.91,INS-001,
POL0000351,2026-08-31,Q0001295,CUST-006945,1_month,109.79,INS-003,PARTNER-022
POL0000352,2026-08-31,Q0001296,CUST-006635,1_week,52.08,INS-007,
POL0000353,2026-08-31,Q0001298,CUST-005762,1_week,42.82,INS-005,
POL0000354,2026-08-31,Q0001301,CUST-000259,1_day,60.58,INS-005,
POL0000355,2026-08-31,Q0001305,CUST-000309,1_week,78.85,INS-005,
POL0000356,2026-09-01,Q0001319,CUST-005641,1_month,109.26,INS-002,
POL0000357,2026-09-01,Q0001323,CUST-002389,1_week,94.63,INS-001,
POL0000358,2026-09-01,Q0001325,CUST-000615,3_month,17.58,INS-007,PARTNER-058
POL0000359,2026-09-01,Q0001327,CUST-008186,3_month,91.31,INS-006,
POL0000360,2026-09-01,Q0001331,CUST-001458,1_day,31.02,INS-005,PARTNER-006
POL0000361,2026-09-01,Q0001335,CUST-001786,3_month,107.39,INS-006,
POL0000362,2026-09-01,Q0001336,CUST-004067,1_month,131.94,INS-007,PARTNER-046
POL0000363,2026-09-01,Q0001337,CUST-000677,1_month,95.94,INS-007,
POL0000364,2026-09-01,Q0001340,CUST-000404,1_month,80.26,INS-002,
POL0000365,2026-09-01,Q0001345,CUST-005224,1_day,63.22,INS-007,PARTNER-059
POL0000366,2026-09-02,Q0001352,CUST-008052,1_month,134.44,INS-002,
POL0000367,2026-09-02,Q0001354,CUST-008421,1_week,23.7,INS-004,PARTNER-015
POL0000368,2026-09-02,Q0001360,CUST-007096,1_week,143.36,INS-005,PARTNER-017
POL0000369,2026-09-02,Q0001361,CUST-004376,3_month,23.08,INS-004,
POL0000370,2026-09-02,Q0001363,CUST-003925,1_week,88.26,INS-007,
POL0000371,2026-09-02,Q0001365,CUST-008914,3_month,119.49,INS-002,
POL0000372,2026-09-02,Q0001366,CUST-008167,1_day,19.03,INS-002,PARTNER-043
POL0000373,2026-09-02,Q0001370,CUST-002010,1_day,14.22,INS-002,
POL0000374,2026-09-02,Q0001386,CUST-008692,1_week,32.99,INS-004,PARTNER-067
POL0000375,2026-09-02,Q0001389,CUST-005119,3_month,81.42,INS-005,
POL0000376,2026-09-02,Q0001390,CUST-004021,3_month,109.31,INS-002,
POL0000377,2026-09-02,Q0001393,CUST-007823,3_month,34.91,INS-002,
POL0000378,2026-09-02,Q0001394,CUST-001275,3_month,22.78,INS-005,PARTNER-077
POL0000379,2026-09-02,Q0001395,CUST-001641,1_month,87.09,INS-003,PARTNER-006
POL0000380,2026-09-02,Q0001399,CUST-002935,3_month,87.16,INS-006,
POL0000381,2026-09-03,Q0001402,CUST-008893,1_week,117.45,INS-007,PARTNER-014
POL0000382,2026-09-03,Q0001408,CUST-004397,3_month,16.92,INS-002,
POL0000383,2026-09-03,Q0001409,CUST-005942,1_month,103.19,INS-002,
POL0000384,2026-09-03,Q0001410,CUST-003928,1_week,127.2,INS-005,PARTNER-005
POL0000385,2026-09-03,Q0001415,CUST-008512,1_month,106.35,INS-006,PARTNER-011
POL0000386,2026-09-03,Q0001422,CUST-005503,1_week,26.08,INS-007,PARTNER-047
POL0000387,2026-09-03,Q0001424,CUST-003843,1_week,24.66,INS-004,
POL0000388,2026-09-03,Q0001428,CUST-001546,1_month,27.76,INS-007,
POL0000389,2026-09-03,Q0001430,CUST-006800,3_month,53.95,INS-004,PARTNER-033
POL0000390,2026-09-03,Q0001436,CUST-000559,1_month,83.3,INS-004,
POL0000391,2026-09-03,Q0001444,CUST-004524,3_month,27.95,INS-005,
POL0000392,2026-09-04,Q0001447,CUST-002370,1_day,124.92,INS-001,PARTNER-014
POL0000393,2026-09-04,Q0001448,CUST-002975,1_week,82.34,INS-006,
POL0000394,2026-09-04,Q0001452,CUST-004603,3_month,96.82,INS-002,
POL0000395,2026-09-04,Q0001454,CUST-007033,3_month,75.78,INS-006,
POL0000396,2026-09-04,Q0001455,CUST-000849,3_month,29.52,INS-007,PARTNER-069
POL0000397,2026-09-04,Q0001461,CUST-000252,3_month,41.9,INS-001,
POL0000398,2026-09-04,Q0001464,CUST-006541,1_day,84.68,INS-005,PARTNER-038
POL0000399,2026-09-04,Q0001466,CUST-002895,3_month,42.71,INS-005,
POL0000400,2026-09-04,Q0001469,CUST-002530,3_month,111.09,INS-002,PARTNER-057
POL0000401,2026-09-04,Q0001472,CUST-000143,3_month,32.86,INS-005,
POL0000402,2026-09-04,Q0001477,CUST-001073,1_month,45.38,INS-005,
